"Version", "Date", "Type", "Reason", "Description",
"1.0.0", "Aug 15, 2020", "R", "Initial", "Library of useful classes & utilities. See full documentation.",
"1.0.1", "Aug 19, 2020", "R", "Bug | Feature", "<ul><li>Fixed D0 bug where `FileInfo.AbbreviatePath()` ext. method did not implement optional `[Depth=1]` parameter</li><li>Added `DirectoryInfo.AbbreviatePath(int Depth)` extension method</li></ul>"
